Proteins,Degree,Closeness,Betweenness,Eigenvector,Harmonic,Hub_Score,Authority_Score,Page_Rank,Power_Centrality
ENSP00000000233,14.000,0.211,5611.244,0.000,0.213,0.000,0.000,0.000,0.000
ENSP00000000412,4.000,0.196,50.641,0.000,0.196,0.000,0.000,0.000,0.000
ENSP00000001008,22.000,0.216,35520.225,0.000,0.219,0.000,0.000,0.000,0.000
ENSP00000001146,10.000,0.230,32666.011,0.000,0.233,0.000,0.000,0.000,0.000
ENSP00000002596,8.000,0.224,1557.679,0.000,0.227,0.000,0.000,0.000,0.000
ENSP00000002829,28.000,0.251,83956.295,0.000,0.257,0.000,0.000,0.000,0.000
ENSP00000003084,6.000,0.196,1869.095,0.000,0.197,0.000,0.000,0.000,0.000
ENSP00000003100,80.000,0.249,697574.966,0.000,0.256,0.000,0.000,0.000,0.000
ENSP00000003302,8.000,0.212,324.359,0.000,0.213,0.000,0.000,0.000,0.000
ENSP00000004531,20.000,0.251,169052.784,0.012,0.260,0.012,0.012,0.000,0.000
ENSP00000004982,18.000,0.223,29739.866,0.000,0.226,0.000,0.000,0.000,0.000
ENSP00000005178,22.000,0.221,48736.895,0.000,0.224,0.000,0.000,0.000,0.000
ENSP00000005226,30.000,0.244,204292.309,0.000,0.249,0.000,0.000,0.000,0.000
ENSP00000005257,32.000,0.259,12147.322,0.000,0.266,0.000,0.000,0.000,0.000
ENSP00000005260,34.000,0.248,51322.338,0.000,0.253,0.000,0.000,0.000,0.000
ENSP00000005284,132.000,0.286,1213471.402,0.003,0.299,0.003,0.003,0.000,0.000
ENSP00000005340,10.000,0.232,681.425,0.003,0.237,0.003,0.003,0.000,0.000
ENSP00000005386,134.000,0.285,914522.775,0.012,0.299,0.012,0.012,0.000,0.000
ENSP00000005587,324.000,0.317,4322892.679,0.014,0.336,0.014,0.014,0.001,0.001
ENSP00000006053,32.000,0.245,76865.927,0.000,0.250,0.000,0.000,0.000,0.000
ENSP00000006275,60.000,0.263,87063.803,0.001,0.270,0.001,0.001,0.000,0.000
ENSP00000006526,24.000,0.265,61642.547,0.001,0.272,0.001,0.001,0.000,0.000
ENSP00000007390,230.000,0.304,1807647.458,0.003,0.319,0.003,0.003,0.001,0.001
ENSP00000007699,188.000,0.297,1573100.506,0.007,0.311,0.007,0.007,0.001,0.001
ENSP00000008391,46.000,0.263,23264.764,0.000,0.270,0.000,0.000,0.000,0.000
ENSP00000008527,74.000,0.274,309036.537,0.001,0.285,0.001,0.001,0.000,0.000
ENSP00000008938,246.000,0.306,1813840.257,0.008,0.322,0.008,0.008,0.001,0.001
ENSP00000009041,44.000,0.273,179691.465,0.001,0.282,0.001,0.001,0.000,0.000
ENSP00000009530,18.000,0.241,880.202,0.000,0.246,0.000,0.000,0.000,0.000
ENSP00000011292,30.000,0.246,28302.946,0.000,0.251,0.000,0.000,0.000,0.000
ENSP00000011473,6.000,0.175,3661.926,0.000,0.175,0.000,0.000,0.000,0.000
ENSP00000011619,14.000,0.200,54808.064,0.000,0.202,0.000,0.000,0.000,0.000
ENSP00000011653,6.000,0.162,845.964,0.000,0.161,0.000,0.000,0.000,0.000
ENSP00000012443,22.000,0.203,26709.898,0.000,0.206,0.000,0.000,0.000,0.000
ENSP00000013070,8.000,0.144,870.274,0.000,0.142,0.000,0.000,0.000,0.000
ENSP00000013125,12.000,0.152,53780.784,0.000,0.151,0.000,0.000,0.000,0.000
ENSP00000013807,16.000,0.167,41508.021,0.000,0.166,0.000,0.000,0.000,0.000
ENSP00000014914,16.000,0.167,41508.021,0.000,0.166,0.000,0.000,0.000,0.000
ENSP00000014930,16.000,0.167,41508.021,0.000,0.166,0.000,0.000,0.000,0.000
ENSP00000016171,10.000,0.200,15.271,0.000,0.201,0.000,0.000,0.000,0.000
ENSP00000016913,20.000,0.201,10322.302,0.000,0.203,0.000,0.000,0.000,0.000
ENSP00000016946,30.000,0.220,81685.144,0.000,0.223,0.000,0.000,0.000,0.000
ENSP00000017003,96.000,0.249,345451.744,0.000,0.257,0.000,0.000,0.000,0.000
ENSP00000019103,42.000,0.233,59908.759,0.000,0.238,0.000,0.000,0.000,0.000
ENSP00000020945,22.000,0.200,4794.046,0.000,0.202,0.000,0.000,0.000,0.000
ENSP00000023064,68.000,0.259,585734.890,0.000,0.266,0.000,0.000,0.000,0.000
ENSP00000023939,18.000,0.232,34541.959,0.000,0.236,0.000,0.000,0.000,0.000
ENSP00000025008,80.000,0.264,652024.152,0.007,0.273,0.007,0.007,0.000,0.000
ENSP00000025301,14.000,0.231,67122.800,0.000,0.234,0.000,0.000,0.000,0.000
ENSP00000026218,22.000,0.232,155101.288,0.000,0.236,0.000,0.000,0.000,0.000
ENSP00000027335,6.000,0.207,9807.208,0.000,0.208,0.000,0.000,0.000,0.000
ENSP00000029410,16.000,0.229,11667.906,0.000,0.232,0.000,0.000,0.000,0.000
ENSP00000037243,4.000,0.206,0.000,0.000,0.207,0.000,0.000,0.000,0.000
ENSP00000037502,2.000,0.206,0.000,0.000,0.206,0.000,0.000,0.000,0.000
ENSP00000039007,56.000,0.261,97865.957,0.001,0.268,0.001,0.001,0.000,0.000
ENSP00000040584,20.000,0.233,73630.604,0.000,0.237,0.000,0.000,0.000,0.000
ENSP00000040663,14.000,0.209,35642.465,0.000,0.211,0.000,0.000,0.000,0.000
ENSP00000040738,16.000,0.229,11133.584,0.000,0.232,0.000,0.000,0.000,0.000
ENSP00000040877,12.000,0.213,110065.549,0.000,0.214,0.000,0.000,0.000,0.000
ENSP00000043402,20.000,0.227,16259.670,0.000,0.229,0.000,0.000,0.000,0.000
ENSP00000044462,26.000,0.218,78118.643,0.000,0.220,0.000,0.000,0.000,0.000
ENSP00000045083,70.000,0.270,486450.162,0.000,0.279,0.000,0.000,0.000,0.000
ENSP00000046087,46.000,0.250,55871.374,0.000,0.256,0.000,0.000,0.000,0.000
ENSP00000046794,14.000,0.223,35447.956,0.000,0.225,0.000,0.000,0.000,0.000
ENSP00000052754,12.000,0.223,5040.031,0.000,0.226,0.000,0.000,0.000,0.000
ENSP00000053243,130.000,0.276,1104127.220,0.007,0.288,0.007,0.007,0.000,0.000
ENSP00000053468,20.000,0.213,107103.888,0.000,0.214,0.000,0.000,0.000,0.000
ENSP00000053469,6.000,0.209,0.000,0.000,0.210,0.000,0.000,0.000,0.000
ENSP00000053867,30.000,0.231,116300.414,0.000,0.235,0.000,0.000,0.000,0.000
ENSP00000054650,24.000,0.255,105055.473,0.001,0.261,0.001,0.001,0.000,0.000
ENSP00000054666,102.000,0.281,618336.187,0.001,0.292,0.001,0.001,0.000,0.000
ENSP00000054668,48.000,0.266,246103.677,0.000,0.274,0.000,0.000,0.000,0.000
ENSP00000054950,10.000,0.213,17427.162,0.000,0.214,0.000,0.000,0.000,0.000
ENSP00000055077,24.000,0.228,39608.077,0.000,0.231,0.000,0.000,0.000,0.000
ENSP00000055682,90.000,0.277,260793.672,0.002,0.287,0.002,0.002,0.000,0.000
ENSP00000056233,34.000,0.218,48550.554,0.000,0.222,0.000,0.000,0.000,0.000
ENSP00000061240,20.000,0.233,154087.028,0.006,0.240,0.006,0.006,0.000,0.000
ENSP00000064724,34.000,0.235,136418.025,0.000,0.239,0.000,0.000,0.000,0.000
ENSP00000064778,34.000,0.223,89139.878,0.000,0.226,0.000,0.000,0.000,0.000
ENSP00000064780,22.000,0.221,28862.992,0.000,0.224,0.000,0.000,0.000,0.000
ENSP00000070846,28.000,0.206,22922.791,0.000,0.208,0.000,0.000,0.000,0.000
ENSP00000072644,32.000,0.207,37341.467,0.000,0.210,0.000,0.000,0.000,0.000
ENSP00000074304,38.000,0.207,14589.973,0.000,0.209,0.000,0.000,0.000,0.000
ENSP00000078429,36.000,0.215,53554.826,0.000,0.218,0.000,0.000,0.000,0.000
ENSP00000078445,28.000,0.211,39900.629,0.000,0.213,0.000,0.000,0.000,0.000
ENSP00000080059,42.000,0.241,181632.771,0.001,0.249,0.001,0.001,0.000,0.000
ENSP00000081029,18.000,0.183,16.594,0.000,0.183,0.000,0.000,0.000,0.000
ENSP00000083182,16.000,0.194,1196.286,0.000,0.195,0.000,0.000,0.000,0.000
ENSP00000085219,16.000,0.194,1196.286,0.000,0.195,0.000,0.000,0.000,0.000
ENSP00000086933,136.000,0.243,797571.546,0.004,0.252,0.004,0.004,0.000,0.000
ENSP00000155093,40.000,0.218,64809.914,0.000,0.221,0.000,0.000,0.000,0.000
ENSP00000155840,16.000,0.195,5476.950,0.000,0.195,0.000,0.000,0.000,0.000
ENSP00000155858,18.000,0.202,2156.326,0.000,0.204,0.000,0.000,0.000,0.000
ENSP00000155926,16.000,0.257,1634.221,0.012,0.266,0.012,0.012,0.000,0.000
ENSP00000156084,940.000,0.312,5243939.923,0.837,0.344,0.837,0.837,0.001,0.001
ENSP00000156109,174.000,0.275,405103.246,0.023,0.291,0.023,0.023,0.000,0.000
ENSP00000156471,584.000,0.299,2750275.755,0.043,0.323,0.043,0.043,0.001,0.001
ENSP00000156626,836.000,0.310,4246010.151,0.794,0.340,0.794,0.794,0.001,0.001
ENSP00000157812,478.000,0.291,1142161.344,0.041,0.313,0.041,0.041,0.001,0.001
ENSP00000158762,244.000,0.309,1963137.139,0.012,0.327,0.012,0.012,0.001,0.001
ENSP00000158771,100.000,0.264,202319.999,0.002,0.275,0.002,0.002,0.000,0.000
ENSP00000159060,46.000,0.269,109819.586,0.001,0.279,0.001,0.001,0.000,0.000
ENSP00000159111,4.000,0.193,9.177,0.000,0.193,0.000,0.000,0.000,0.000
ENSP00000160262,14.000,0.229,89421.542,0.000,0.234,0.000,0.000,0.000,0.000
ENSP00000160373,18.000,0.228,101250.731,0.000,0.232,0.000,0.000,0.000,0.000
ENSP00000160382,6.000,0.232,528.762,0.000,0.235,0.000,0.000,0.000,0.000
ENSP00000160827,72.000,0.271,311878.905,0.002,0.280,0.002,0.002,0.000,0.000
ENSP00000161559,34.000,0.252,76019.071,0.000,0.258,0.000,0.000,0.000,0.000
ENSP00000161863,12.000,0.224,14070.889,0.000,0.227,0.000,0.000,0.000,0.000
ENSP00000162749,12.000,0.215,4242.217,0.000,0.216,0.000,0.000,0.000,0.000
ENSP00000163416,80.000,0.262,521859.945,0.001,0.270,0.001,0.001,0.000,0.000
ENSP00000164024,76.000,0.268,547920.803,0.001,0.277,0.001,0.001,0.000,0.000
ENSP00000164133,70.000,0.264,642628.736,0.001,0.273,0.001,0.001,0.000,0.000
ENSP00000164139,24.000,0.215,53250.643,0.000,0.217,0.000,0.000,0.000,0.000
ENSP00000164227,60.000,0.266,297468.650,0.000,0.274,0.000,0.000,0.000,0.000
ENSP00000164305,34.000,0.199,111606.695,0.000,0.201,0.000,0.000,0.000,0.000
ENSP00000165524,28.000,0.206,63479.837,0.000,0.207,0.000,0.000,0.000,0.000
ENSP00000166139,10.000,0.231,164722.387,0.006,0.238,0.006,0.006,0.000,0.000
ENSP00000166244,20.000,0.183,226.834,0.000,0.183,0.000,0.000,0.000,0.000
ENSP00000166345,30.000,0.196,52553.995,0.000,0.197,0.000,0.000,0.000,0.000
ENSP00000167106,28.000,0.187,71028.510,0.000,0.188,0.000,0.000,0.000,0.000
ENSP00000167586,4.000,0.166,0.000,0.000,0.165,0.000,0.000,0.000,0.000
ENSP00000167588,4.000,0.179,0.000,0.000,0.178,0.000,0.000,0.000,0.000
ENSP00000168148,24.000,0.184,7895.034,0.000,0.184,0.000,0.000,0.000,0.000
ENSP00000168216,34.000,0.208,95406.057,0.000,0.209,0.000,0.000,0.000,0.000
ENSP00000168712,6.000,0.169,2932.825,0.000,0.169,0.000,0.000,0.000,0.000
ENSP00000169298,20.000,0.183,5571.166,0.000,0.183,0.000,0.000,0.000,0.000
ENSP00000169551,22.000,0.190,9890.051,0.000,0.190,0.000,0.000,0.000,0.000
ENSP00000170150,16.000,0.187,9735.833,0.000,0.187,0.000,0.000,0.000,0.000
ENSP00000170168,28.000,0.197,43341.186,0.000,0.198,0.000,0.000,0.000,0.000
ENSP00000170447,8.000,0.209,47642.994,0.000,0.210,0.000,0.000,0.000,0.000
ENSP00000170564,22.000,0.183,374.277,0.000,0.183,0.000,0.000,0.000,0.000
ENSP00000172229,6.000,0.179,2645.789,0.000,0.178,0.000,0.000,0.000,0.000
ENSP00000173229,26.000,0.229,61998.102,0.000,0.232,0.000,0.000,0.000,0.000
ENSP00000173898,24.000,0.225,22543.020,0.000,0.228,0.000,0.000,0.000,0.000
ENSP00000174618,64.000,0.271,728897.518,0.002,0.280,0.002,0.002,0.000,0.000
ENSP00000176183,18.000,0.206,15876.712,0.000,0.208,0.000,0.000,0.000,0.000
ENSP00000176195,2.000,0.186,0.000,0.000,0.186,0.000,0.000,0.000,0.000
ENSP00000177694,16.000,0.206,221.641,0.000,0.208,0.000,0.000,0.000,0.000
ENSP00000177742,64.000,0.224,43133.378,0.000,0.229,0.000,0.000,0.000,0.000
ENSP00000178640,24.000,0.227,13962.794,0.000,0.231,0.000,0.000,0.000,0.000
ENSP00000179259,30.000,0.221,47874.492,0.000,0.224,0.000,0.000,0.000,0.000
ENSP00000180166,32.000,0.233,174875.271,0.000,0.236,0.000,0.000,0.000,0.000
ENSP00000180173,24.000,0.232,26045.932,0.000,0.236,0.000,0.000,0.000,0.000
ENSP00000181383,32.000,0.222,43232.827,0.000,0.225,0.000,0.000,0.000,0.000
ENSP00000181796,6.000,0.227,986.881,0.000,0.229,0.000,0.000,0.000,0.000
ENSP00000181839,10.000,0.210,13949.555,0.000,0.211,0.000,0.000,0.000,0.000
ENSP00000182290,106.000,0.261,513320.504,0.000,0.270,0.000,0.000,0.000,0.000
ENSP00000182527,16.000,0.190,17449.970,0.000,0.191,0.000,0.000,0.000,0.000
ENSP00000184183,24.000,0.192,104572.079,0.000,0.193,0.000,0.000,0.000,0.000
ENSP00000184266,48.000,0.234,270913.215,0.000,0.240,0.000,0.000,0.000,0.000
ENSP00000184956,22.000,0.195,82588.781,0.000,0.196,0.000,0.000,0.000,0.000
ENSP00000185150,4.000,0.167,0.000,0.000,0.166,0.000,0.000,0.000,0.000
ENSP00000185206,24.000,0.199,40364.277,0.000,0.201,0.000,0.000,0.000,0.000
ENSP00000188312,24.000,0.198,26129.215,0.000,0.199,0.000,0.000,0.000,0.000
ENSP00000188790,38.000,0.240,69099.751,0.000,0.245,0.000,0.000,0.000,0.000
ENSP00000192314,40.000,0.262,102942.609,0.007,0.272,0.007,0.007,0.000,0.000
ENSP00000193322,56.000,0.249,118781.238,0.000,0.255,0.000,0.000,0.000,0.000
ENSP00000193391,22.000,0.216,9991.607,0.000,0.219,0.000,0.000,0.000,0.000
ENSP00000194130,14.000,0.212,3373.214,0.000,0.214,0.000,0.000,0.000,0.000
ENSP00000194214,6.000,0.206,0.000,0.000,0.207,0.000,0.000,0.000,0.000
ENSP00000194530,12.000,0.210,138.591,0.000,0.211,0.000,0.000,0.000,0.000
ENSP00000196061,12.000,0.253,54066.820,0.000,0.259,0.000,0.000,0.000,0.000
ENSP00000196371,94.000,0.253,506592.507,0.001,0.261,0.001,0.001,0.000,0.000
ENSP00000198536,88.000,0.270,539916.166,0.001,0.279,0.001,0.001,0.000,0.000
ENSP00000198767,36.000,0.243,47569.848,0.000,0.248,0.000,0.000,0.000,0.000
ENSP00000198801,36.000,0.254,175040.789,0.000,0.261,0.000,0.000,0.000,0.000
ENSP00000199280,28.000,0.239,28341.439,0.000,0.244,0.000,0.000,0.000,0.000
ENSP00000199320,70.000,0.254,283516.392,0.000,0.261,0.000,0.000,0.000,0.000
ENSP00000199389,26.000,0.211,3905.439,0.000,0.213,0.000,0.000,0.000,0.000
ENSP00000199447,82.000,0.268,286074.272,0.002,0.277,0.002,0.002,0.000,0.000
ENSP00000199708,48.000,0.242,82330.537,0.000,0.248,0.000,0.000,0.000,0.000
ENSP00000199764,78.000,0.271,469357.131,0.001,0.282,0.001,0.001,0.000,0.000
ENSP00000199814,68.000,0.267,295524.668,0.001,0.276,0.001,0.001,0.000,0.000
ENSP00000199936,34.000,0.212,34545.849,0.000,0.215,0.000,0.000,0.000,0.000
ENSP00000200135,52.000,0.251,82109.739,0.001,0.258,0.001,0.001,0.000,0.000
ENSP00000200181,20.000,0.223,1063.720,0.000,0.228,0.000,0.000,0.000,0.000
ENSP00000200453,176.000,0.275,430430.965,0.012,0.288,0.012,0.012,0.000,0.000
ENSP00000200457,62.000,0.254,75862.784,0.006,0.263,0.006,0.006,0.000,0.000
ENSP00000200652,66.000,0.222,3959.448,0.003,0.228,0.003,0.003,0.000,0.000
ENSP00000200676,66.000,0.226,11320.127,0.002,0.233,0.002,0.002,0.000,0.000
ENSP00000200691,38.000,0.232,2913.190,0.002,0.239,0.002,0.002,0.000,0.000
ENSP00000201031,56.000,0.232,20448.129,0.003,0.239,0.003,0.003,0.000,0.000
ENSP00000201586,88.000,0.248,484653.308,0.001,0.257,0.001,0.001,0.000,0.000
ENSP00000202017,74.000,0.221,3819.132,0.003,0.228,0.003,0.003,0.000,0.000
ENSP00000202556,36.000,0.234,18984.701,0.001,0.241,0.001,0.001,0.000,0.000
ENSP00000202677,76.000,0.229,118109.689,0.002,0.237,0.002,0.002,0.000,0.000
ENSP00000202816,62.000,0.232,27417.095,0.004,0.241,0.004,0.004,0.000,0.000
ENSP00000202967,272.000,0.258,65355.918,0.026,0.274,0.026,0.026,0.000,0.000
ENSP00000203001,174.000,0.276,351677.914,0.012,0.290,0.012,0.012,0.000,0.000
ENSP00000203407,22.000,0.231,5946.669,0.001,0.236,0.001,0.001,0.000,0.000
ENSP00000203629,96.000,0.257,811979.834,0.004,0.268,0.004,0.004,0.000,0.000
ENSP00000203630,52.000,0.220,1558.260,0.002,0.227,0.002,0.002,0.000,0.000
ENSP00000203664,26.000,0.231,4484.813,0.001,0.237,0.001,0.001,0.000,0.000
ENSP00000204517,40.000,0.235,16237.078,0.001,0.242,0.001,0.001,0.000,0.000
ENSP00000204549,46.000,0.233,43475.802,0.001,0.240,0.001,0.001,0.000,0.000
ENSP00000204566,58.000,0.244,87228.653,0.008,0.254,0.008,0.008,0.000,0.000
ENSP00000204604,18.000,0.223,1282.524,0.000,0.228,0.000,0.000,0.000,0.000
ENSP00000204679,360.000,0.264,415868.457,0.027,0.283,0.027,0.027,0.000,0.000
ENSP00000204726,112.000,0.239,72412.460,0.049,0.250,0.049,0.049,0.000,0.000
ENSP00000204961,4.000,0.206,0.000,0.000,0.207,0.000,0.000,0.000,0.000
ENSP00000205061,74.000,0.259,110641.883,0.000,0.267,0.000,0.000,0.000,0.000
ENSP00000205143,20.000,0.226,5754.455,0.000,0.229,0.000,0.000,0.000,0.000
ENSP00000205194,80.000,0.259,114717.500,0.005,0.269,0.005,0.005,0.000,0.000
ENSP00000205214,100.000,0.255,76011.321,0.005,0.265,0.005,0.005,0.000,0.000
ENSP00000205402,194.000,0.267,267877.000,0.001,0.280,0.001,0.001,0.000,0.000
ENSP00000205557,106.000,0.254,144948.204,0.000,0.264,0.000,0.000,0.000,0.000
ENSP00000205636,116.000,0.260,73314.988,0.005,0.272,0.005,0.005,0.000,0.000
ENSP00000205948,262.000,0.287,1028544.477,0.002,0.303,0.002,0.002,0.001,0.001
ENSP00000206020,92.000,0.239,44108.644,0.000,0.246,0.000,0.000,0.000,0.000
ENSP00000206262,94.000,0.256,117918.013,0.005,0.265,0.005,0.005,0.000,0.000
ENSP00000206423,154.000,0.260,200855.536,0.001,0.272,0.001,0.001,0.000,0.000
ENSP00000206474,110.000,0.264,173411.721,0.007,0.274,0.007,0.007,0.000,0.000
ENSP00000206513,52.000,0.264,108878.812,0.005,0.273,0.005,0.005,0.000,0.000
ENSP00000206542,6.000,0.222,0.000,0.000,0.226,0.000,0.000,0.000,0.000
ENSP00000206765,70.000,0.238,34361.438,0.000,0.245,0.000,0.000,0.000,0.000
ENSP00000207457,174.000,0.249,424403.761,0.000,0.259,0.000,0.000,0.001,0.001
ENSP00000207549,132.000,0.281,577049.475,0.005,0.293,0.005,0.005,0.000,0.000
ENSP00000207870,72.000,0.251,34933.742,0.000,0.259,0.000,0.000,0.000,0.000
ENSP00000209668,372.000,0.277,3178074.940,0.006,0.294,0.006,0.006,0.001,0.001
ENSP00000209728,22.000,0.235,120717.853,0.000,0.238,0.000,0.000,0.000,0.000
ENSP00000209873,338.000,0.279,636122.517,0.663,0.297,0.663,0.663,0.000,0.000
ENSP00000209875,130.000,0.271,377725.519,0.006,0.283,0.006,0.006,0.000,0.000
ENSP00000209884,276.000,0.294,1180439.372,0.003,0.310,0.003,0.003,0.001,0.001
ENSP00000210060,360.000,0.305,2345433.599,0.004,0.323,0.004,0.004,0.001,0.001
ENSP00000210187,44.000,0.236,1861.872,0.000,0.242,0.000,0.000,0.000,0.000
ENSP00000210313,36.000,0.232,15646.971,0.000,0.238,0.000,0.000,0.000,0.000
ENSP00000210444,20.000,0.221,8617.662,0.000,0.225,0.000,0.000,0.000,0.000
ENSP00000211122,66.000,0.240,16127.894,0.000,0.248,0.000,0.000,0.000,0.000
ENSP00000211287,12.000,0.215,1805.692,0.000,0.218,0.000,0.000,0.000,0.000
ENSP00000211998,110.000,0.255,164874.772,0.000,0.265,0.000,0.000,0.000,0.000
ENSP00000212015,130.000,0.263,160100.871,0.001,0.273,0.001,0.001,0.000,0.000
ENSP00000212355,30.000,0.220,1975.237,0.000,0.224,0.000,0.000,0.000,0.000
ENSP00000214869,10.000,0.218,321.492,0.000,0.221,0.000,0.000,0.000,0.000
ENSP00000215057,76.000,0.249,9672.671,0.000,0.257,0.000,0.000,0.000,0.000
ENSP00000215071,136.000,0.263,187827.095,0.001,0.275,0.001,0.001,0.000,0.000
ENSP00000215095,84.000,0.249,11444.735,0.001,0.258,0.001,0.001,0.000,0.000
ENSP00000215368,326.000,0.262,1079076.856,0.001,0.276,0.001,0.001,0.001,0.001
ENSP00000215375,86.000,0.244,22176.306,0.000,0.251,0.000,0.000,0.000,0.000
ENSP00000215530,160.000,0.288,557048.289,0.009,0.302,0.009,0.009,0.000,0.000
ENSP00000215565,60.000,0.252,38791.102,0.001,0.260,0.001,0.001,0.000,0.000
ENSP00000215567,24.000,0.220,311.714,0.000,0.223,0.000,0.000,0.000,0.000
ENSP00000215570,146.000,0.255,85524.084,0.001,0.265,0.001,0.001,0.000,0.000
ENSP00000215574,56.000,0.231,22266.957,0.000,0.237,0.000,0.000,0.000,0.000
ENSP00000215631,24.000,0.185,36.134,0.000,0.185,0.000,0.000,0.000,0.000
ENSP00000215637,32.000,0.191,31328.036,0.000,0.193,0.000,0.000,0.000,0.000
ENSP00000215659,50.000,0.205,70503.046,0.000,0.209,0.000,0.000,0.000,0.000
ENSP00000215727,44.000,0.213,108993.540,0.000,0.216,0.000,0.000,0.000,0.000
ENSP00000215730,22.000,0.184,35.091,0.000,0.185,0.000,0.000,0.000,0.000
ENSP00000215742,48.000,0.206,39706.053,0.000,0.209,0.000,0.000,0.000,0.000
ENSP00000215743,40.000,0.196,21154.836,0.000,0.198,0.000,0.000,0.000,0.000
ENSP00000215754,26.000,0.186,607.197,0.000,0.187,0.000,0.000,0.000,0.000
ENSP00000215781,34.000,0.210,114494.563,0.002,0.214,0.002,0.002,0.000,0.000
ENSP00000215793,40.000,0.198,12414.711,0.000,0.200,0.000,0.000,0.000,0.000
ENSP00000215794,24.000,0.184,149.596,0.000,0.184,0.000,0.000,0.000,0.000
ENSP00000215829,30.000,0.186,2332.919,0.000,0.187,0.000,0.000,0.000,0.000
ENSP00000215832,36.000,0.201,28130.285,0.000,0.204,0.000,0.000,0.000,0.000
ENSP00000215838,2.000,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
ENSP00000215855,2.000,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
ENSP00000215882,4.000,0.204,0.000,0.002,0.207,0.002,0.002,0.000,0.000
ENSP00000215885,108.000,0.257,37598.419,0.226,0.268,0.226,0.226,0.000,0.000
ENSP00000215904,6.000,0.219,210.414,0.007,0.224,0.007,0.007,0.000,0.000
ENSP00000215909,8.000,0.162,0.000,0.000,0.161,0.000,0.000,0.000,0.000
ENSP00000215941,16.000,0.191,53202.311,0.000,0.192,0.000,0.000,0.000,0.000
ENSP00000215957,16.000,0.191,53202.311,0.000,0.192,0.000,0.000,0.000,0.000
ENSP00000215980,12.000,0.178,36352.305,0.000,0.177,0.000,0.000,0.000,0.000
ENSP00000216024,14.000,0.162,53320.874,0.000,0.161,0.000,0.000,0.000,0.000
ENSP00000216027,2.000,0.200,0.000,0.000,0.200,0.000,0.000,0.000,0.000
ENSP00000216034,12.000,0.250,55186.783,0.000,0.256,0.000,0.000,0.000,0.000
ENSP00000216036,46.000,0.227,35254.379,0.000,0.231,0.000,0.000,0.000,0.000
ENSP00000216037,16.000,0.197,59727.286,0.000,0.199,0.000,0.000,0.000,0.000
ENSP00000216038,12.000,0.197,12693.613,0.000,0.199,0.000,0.000,0.000,0.000
ENSP00000216039,36.000,0.215,5413.662,0.000,0.218,0.000,0.000,0.000,0.000
ENSP00000216044,38.000,0.238,44715.670,0.000,0.243,0.000,0.000,0.000,0.000
ENSP00000216068,26.000,0.208,170.668,0.000,0.211,0.000,0.000,0.000,0.000
ENSP00000216075,30.000,0.209,1512.836,0.000,0.212,0.000,0.000,0.000,0.000
ENSP00000216099,48.000,0.230,43369.035,0.000,0.234,0.000,0.000,0.000,0.000
ENSP00000216101,52.000,0.241,71035.946,0.000,0.247,0.000,0.000,0.000,0.000
ENSP00000216106,26.000,0.222,4024.005,0.000,0.226,0.000,0.000,0.000,0.000
ENSP00000216115,90.000,0.246,86816.078,0.001,0.255,0.001,0.001,0.000,0.000
ENSP00000216117,22.000,0.256,30724.722,0.002,0.262,0.002,0.002,0.000,0.000
ENSP00000216121,58.000,0.248,75303.323,0.000,0.256,0.000,0.000,0.000,0.000
ENSP00000216122,14.000,0.225,4681.254,0.000,0.229,0.000,0.000,0.000,0.000
ENSP00000216124,12.000,0.216,2837.893,0.002,0.219,0.002,0.002,0.000,0.000
ENSP00000216127,48.000,0.239,58075.856,0.002,0.245,0.002,0.002,0.000,0.000
ENSP00000216129,22.000,0.214,1517.786,0.000,0.217,0.000,0.000,0.000,0.000
ENSP00000216133,18.000,0.212,73.405,0.000,0.214,0.000,0.000,0.000,0.000
ENSP00000216160,48.000,0.246,68009.405,0.000,0.252,0.000,0.000,0.000,0.000
ENSP00000216180,28.000,0.212,553.292,0.000,0.214,0.000,0.000,0.000,0.000
ENSP00000216181,32.000,0.216,8626.937,0.000,0.219,0.000,0.000,0.000,0.000
ENSP00000216185,38.000,0.219,2773.278,0.000,0.223,0.000,0.000,0.000,0.000
ENSP00000216190,22.000,0.217,2527.836,0.000,0.220,0.000,0.000,0.000,0.000
ENSP00000216200,4.000,0.229,1618.868,0.000,0.232,0.000,0.000,0.000,0.000
ENSP00000216211,12.000,0.221,6199.890,0.000,0.223,0.000,0.000,0.000,0.000
ENSP00000216218,4.000,0.176,1073.896,0.000,0.175,0.000,0.000,0.000,0.000
ENSP00000216223,10.000,0.188,32096.832,0.000,0.188,0.000,0.000,0.000,0.000
ENSP00000216225,28.000,0.209,85308.243,0.000,0.212,0.000,0.000,0.000,0.000
ENSP00000216237,374.000,0.283,916592.665,0.687,0.301,0.687,0.687,0.000,0.000
ENSP00000216252,432.000,0.280,135003.678,0.818,0.300,0.818,0.818,0.000,0.000
ENSP00000216254,496.000,0.281,78625.197,0.866,0.302,0.866,0.866,0.000,0.000
ENSP00000216259,356.000,0.263,74308.288,0.493,0.280,0.493,0.493,0.000,0.000
ENSP00000216264,248.000,0.267,7120.550,0.572,0.282,0.572,0.572,0.000,0.000
ENSP00000216271,480.000,0.278,79117.445,0.866,0.298,0.866,0.866,0.000,0.000
