Proteins,Degree,Closeness,Betweenness,Eigenvector,Harmonic,Hub_Score,Authority_Score,Page_Rank,Power_Centrality
ENSP00000248572,12.000,0.209,352.303,0.000,0.210,0.000,0.000,0.000,0.000
ENSP00000248594,20.000,0.220,9801.807,0.000,0.222,0.000,0.000,0.000,0.000
ENSP00000248598,38.000,0.260,148169.475,0.003,0.268,0.003,0.003,0.000,0.000
ENSP00000248633,8.000,0.238,51795.317,0.000,0.242,0.000,0.000,0.000,0.000
ENSP00000248643,34.000,0.216,116011.071,0.000,0.218,0.000,0.000,0.000,0.000
ENSP00000248668,6.000,0.196,50664.000,0.000,0.196,0.000,0.000,0.000,0.000
ENSP00000248706,18.000,0.238,79173.513,0.000,0.243,0.000,0.000,0.000,0.000
ENSP00000248846,4.000,0.164,25334.000,0.000,0.162,0.000,0.000,0.000,0.000
ENSP00000248879,14.000,0.223,24706.175,0.000,0.226,0.000,0.000,0.000,0.000
ENSP00000248901,2.000,0.197,0.000,0.000,0.198,0.000,0.000,0.000,0.000
ENSP00000248923,72.000,0.246,445211.295,0.000,0.252,0.000,0.000,0.000,0.000
ENSP00000248929,4.000,0.208,1671.950,0.000,0.209,0.000,0.000,0.000,0.000
ENSP00000248933,70.000,0.261,316624.069,0.000,0.269,0.000,0.000,0.000,0.000
ENSP00000248948,10.000,0.198,1356.558,0.000,0.199,0.000,0.000,0.000,0.000
ENSP00000248958,20.000,0.247,7093.170,0.000,0.253,0.000,0.000,0.000,0.000
ENSP00000248975,50.000,0.260,124128.223,0.000,0.267,0.000,0.000,0.000,0.000
ENSP00000249014,24.000,0.240,11955.372,0.000,0.246,0.000,0.000,0.000,0.000
ENSP00000249016,108.000,0.274,243100.607,0.004,0.286,0.004,0.004,0.000,0.000
ENSP00000249041,20.000,0.242,6734.924,0.000,0.247,0.000,0.000,0.000,0.000
ENSP00000249064,292.000,0.298,1761789.867,0.015,0.315,0.015,0.015,0.001,0.001
ENSP00000249071,12.000,0.236,17021.804,0.000,0.241,0.000,0.000,0.000,0.000
ENSP00000249075,146.000,0.298,1028983.937,0.016,0.313,0.016,0.016,0.000,0.000
ENSP00000249269,26.000,0.243,41557.584,0.000,0.248,0.000,0.000,0.000,0.000
ENSP00000249284,132.000,0.273,451343.712,0.002,0.284,0.002,0.002,0.000,0.000
ENSP00000249299,38.000,0.211,0.000,0.054,0.217,0.054,0.054,0.000,0.000
ENSP00000249330,494.000,0.281,134832.777,0.852,0.303,0.852,0.852,0.000,0.000
ENSP00000249344,86.000,0.268,353892.109,0.056,0.279,0.056,0.056,0.000,0.000
ENSP00000249356,74.000,0.237,473.913,0.131,0.247,0.131,0.131,0.000,0.000
ENSP00000249363,328.000,0.267,19120.235,0.634,0.285,0.634,0.634,0.000,0.000
ENSP00000249373,88.000,0.247,205715.362,0.055,0.255,0.055,0.055,0.000,0.000
ENSP00000249389,4.000,0.227,2657.053,0.000,0.229,0.000,0.000,0.000,0.000
